上传图片,"阈值 (1.0=平滑, <1=硬边缘)",羽化半径,反转蒙版 (保留背景),背景颜色,结果,timestamp
.gradio/flagged/上传图片/79ec95be31a3172d33ed/clipboard.png,1,0,false,透明,.gradio/flagged/结果/4b30e503e732aa19a60c/image.png,2025-12-24 16:28:23.081579
.gradio/flagged/上传图片/0bc11b48d16b87f33611/clipboard.png,1,0,false,透明,.gradio/flagged/结果/7f675bebcaa8b32d4b97/image.png,2025-12-24 16:29:38.846118
